# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
an lian ju sheng huai nan 	暗戀橘生淮南	c=1 d=0.384812 t=31290
an niu 	按鈕	c=4 d=0.460704 t=31290
an pai 	安排	c=2 d=0.554327 t=31290
an quan 	安全	c=4 d=0.0771183 t=31290
an quan bu 	安全部	c=0 d=2.73284e-05 t=31290
an quan lian jie 	安全鏈接	c=1 d=0.774916 t=31290
an quan xi shu 	安全係數	c=2 d=0.142682 t=31290
an quan xuan xiang 	安全選項	c=1 d=0.0197421 t=31290
an quan yu 	安全域	c=10 d=1.01897 t=31290
an se 	暗色	c=1 d=0.0963296 t=31290
an se zhu ti 	暗色主題	c=2 d=0.131338 t=31290
an tu ceng 	按土層	c=1 d=0.0526021 t=31290
an xin 	安心	c=2 d=0.0797695 t=31290
an xin yong 	安心用	c=1 d=0.701173 t=31290
an xu 	按需	c=2 d=1.79976 t=31290
an zhao 	按照	c=11 d=1.43856 t=31290
an zhao jiao cheng 	按照教程	c=1 d=0.790571 t=31290
an zhao lao shi 	按照老師	c=1 d=0.00562801 t=31290
an zhao ni zhi qian 	按照你之前	c=1 d=0.600496 t=31290
an zhao ti shi 	按照提示	c=1 d=0.0095616 t=31290
an zhao zi ji de xu qiu 	按照自己的需求	c=2 d=0.918512 t=31290
an zhi hu 	按知乎	c=1 d=0.249075 t=31290
an zhuang 	安裝	c=27 d=2.63209 t=31290
an zhuang bao 	安裝包	c=2 d=1.29824 t=31290
an zhuang guo cheng 	安裝過程	c=1 d=0.00419023 t=31290
an zhuang hao 	安裝好	c=2 d=0.364612 t=31290
an zhuo 	安卓	c=4 d=0.66034 t=31290
android 	Android	c=30 d=1.38615 t=31290
ang 	昂	c=1 d=7.88932e-06 t=31290
ao de 	熬得	c=1 d=0.00565622 t=31290
ao le 	熬了	c=1 d=0.00324708 t=31290
ao mei 	傲梅	c=1 d=0.856415 t=31290
ao men 	澳門	c=2 d=0.063609 t=31290
ao ye 	熬夜	c=2 d=0.768843 t=31290
api 	API	c=1 d=0.000125275 t=31290
app store 	App Store	c=1 d=1.57398e-13 t=31290
arp 	ARP	c=2 d=0.00492928 t=31290
ba 	吧	c=190 d=6.95886 t=31290
ba 	扒	c=0 d=7.73179e-05 t=31290
ba 	把	c=35 d=2.94813 t=31290
ba 	爸	c=2 d=1.56933 t=31290
ba ba 	爸爸	c=1 d=0.00210172 t=31290
ba bu de 	巴不得	c=1 d=0.960789 t=31290
ba chu 	拔除	c=1 d=0.301194 t=31290
ba dian ban 	八點半	c=1 d=1.95996e-05 t=31290
ba diao 	拔掉	c=0 d=0.000189223 t=31290
ba diao chong qi 	拔掉重啓	c=1 d=0.00190171 t=31290
ba gong 	罷工	c=0 d=0.0101774 t=31290
ba gong le 	罷工了	c=1 d=0.102284 t=31290
ba ji ge 	把幾個	c=1 d=1 t=31263
ba jia tiao 	把假條	c=1 d=0.0104621 t=31290
ba jie dian 	把節點	c=2 d=0.956036 t=31290
ba le 	罷了	c=3 d=0.733416 t=31290
ba lian jie 	把鏈接	c=1 d=1.92744e-14 t=31290
ba ma 	爸媽	c=1 d=0.246597 t=31290
ba na 	把那	c=1 d=0.0101022 t=31290
ba ni 	把你	c=3 d=0.172045 t=31290
ba ni keng le 	把你坑了	c=1 d=0.00240549 t=31290
ba ni zhang hao mi ma 	把你帳號密碼	c=1 d=0.759572 t=31290
ba nian 	八年	c=0 d=0.0421052 t=31290
ba ren 	把人	c=0 d=0.0909373 t=31290
ba ren jia 	把人家	c=1 d=0.913931 t=31290
ba se 	巴塞	c=1 d=1 t=30671
ba se 	把色	c=1 d=1 t=31063
ba sui 	八歲	c=1 d=1 t=30626
ba suo 	八所	c=0 d=0.0400517 t=31290
ba suo gao xiao 	八所高校	c=1 d=0.402524 t=31290
ba ta 	把她	c=1 d=0.0049667 t=31290
ba ta 	把它	c=1 d=8.15341e-11 t=31290
ba wan 	把玩	c=1 d=0.323033 t=31290
ba wo 	把我	c=0 d=0.0680451 t=31290
ba wu zhe 	八五折	c=1 d=0.172907 t=31290
ba ye 	八爺	c=1 d=1 t=30402
ba yi ge 	扒一個	c=1 d=0.000777055 t=31290
ba yue 	八月	c=1 d=1 t=29417
ba zhan 	霸佔	c=1 d=1 t=29263
ba zhe 	八折	c=1 d=0.151945 t=31290
ba zhe 	把這	c=0 d=0.0110251 t=31290
ba zuo tian 	把昨天	c=1 d=0.479505 t=31290
bai 	白	c=1 d=0.00617291 t=31290
bai di 	白底	c=1 d=0.97532 t=31290
bai di zhao pian 	白底照片	c=1 d=8.35555e-05 t=31290
bai du 	百度	c=5 d=0.941849 t=31290
bai du wen ku 	百度文庫	c=1 d=7.9084e-05 t=31290
bai du yun 	百度雲	c=1 d=0.364219 t=31290
bai jia 	百家	c=0 d=0.0506617 t=31290
bai jia hu 	百家湖	c=1 d=0.509156 t=31290
bai jiu 	白酒	c=1 d=0.00644146 t=31290
bai ming 	擺明	c=0 d=0.0282239 t=31290
bai ming dan 	白名單	c=2 d=0.0620385 t=31290
bai nian 	百年	c=2 d=0.317297 t=31290
bai nian hou 	百年後	c=1 d=0.15259 t=31290
bai piao 	白醥	c=1 d=0.355226 t=31290
bai shan cha 	白山茶	c=1 d=0.329559 t=31290
bai shao 	白芍	c=0 d=0.000375375 t=31290
bai tiao 	白條	c=1 d=1 t=29039
bai yin 	白銀	c=1 d=0.0306538 t=31290
bai zao sheng 	白噪聲	c=1 d=0.000181365 t=31290
ban 	半	c=1 d=0.293758 t=31290
ban 	搬	c=0 d=0.0318224 t=31290
ban 	板	c=2 d=0.283256 t=31290
ban 	版	c=14 d=0.854206 t=31290
ban 	班	c=1 d=0.00245409 t=31290
ban 	般	c=1 d=2.30717e-12 t=31290
ban 	辦	c=1 d=0.00479587 t=31290
ban an 	辦案	c=1 d=6.82909e-14 t=31290
ban ben 	版本	c=21 d=2.25902 t=31290
ban ben fa bu liu cheng 	版本發佈流程	c=1 d=0.00244185 t=31290
ban ben hao 	版本號	c=5 d=0.36607 t=31290
ban ben kong zhi 	版本控制	c=1 d=0.00451658 t=31290
ban ben ming cheng 	版本名稱	c=1 d=0.00245409 t=31290
ban dao ti 	半導體	c=1 d=8.21409e-10 t=31290
ban de 	辦的	c=1 d=0.00588705 t=31290
ban fa 	辦法	c=5 d=0.0544695 t=31290
ban fa ba 	辦法吧	c=1 d=0.0156075 t=31290
ban ge xiao shi 	半個小時	c=0 d=0.1 t=28916
ban gong 	辦公	c=1 d=0.0169922 t=31290
ban gong huan jing 	辦公環境	c=1 d=0.609571 t=31290
ban gong wang luo 	辦公網絡	c=2 d=0.00121946 t=31290
ban guo lai 	搬過來	c=1 d=0.0043831 t=31290
ban jing 	半徑	c=1 d=0.203926 t=31290
ban kuai 	版塊	c=1 d=0.00636679 t=31290
ban le 	辦了	c=2 d=0.918512 t=31290
ban li 	辦理	c=0 d=0.012493 t=31290
ban quan 	版權	c=1 d=0.415194 t=31290
ban quan wen ti 	版權問題	c=1 d=0.67368 t=31290
ban quan xin xi 	版權信息	c=3 d=2.58452 t=31290
ban ren 	辦人	c=1 d=0.00290884 t=31290
ban shou 	扳手	c=0 d=0.0970446 t=31290
ban shuang gong 	半雙工	c=2 d=0.158921 t=31290
ban wa gong 	搬瓦工	c=11 d=1.09922 t=31290
ban wa gong 	版瓦工	c=1 d=0.316637 t=31290
ban xiao shi 	半小時	c=1 d=0.927743 t=31290
ban ye 	半夜	c=0 d=0.0357007 t=31290
ban ye hui lai le 	半夜回來了	c=1 d=0.358796 t=31290
ban ye qi chuang 	半夜起牀	c=1 d=1 t=31247
bang 	幫	c=2 d=0.993407 t=31290
bang 	棒	c=3 d=2.58214 t=31290
bang 	榜	c=1 d=0.0107169 t=31290
bang bang mang 	幫幫忙	c=1 d=0.00360656 t=31290
bang ding 	綁定	c=11 d=0.865022 t=31290
bang ding dao 	綁定到	c=5 d=4.79157 t=29112
bang ding de 	綁定的	c=1 d=0.582748 t=31290
bang ding le 	綁定了	c=1 d=0.0645703 t=31290
bang ding zai 	綁定在	c=1 d=1 t=29079
bang ding zi ji yu ming 	綁定自己域名	c=1 d=0.000184106 t=31290
bang hao 	綁好	c=1 d=0.272532 t=31290
bang ka 	綁卡	c=1 d=0.375311 t=31290
bang mang 	幫忙	c=5 d=0.927689 t=31290
bang mang de 	幫忙的	c=0 d=0.00464212 t=31290
bang mang guan zhu xia 	幫忙關注下	c=1 d=0.522046 t=31290
bang ni 	幫你	c=8 d=1.00568 t=31290
bang ni dai gou 	幫你代購	c=1 d=0.0293049 t=31290
bang ni nong 	幫你弄	c=1 d=0.56836 t=31290
bang ni qian dao 	幫你簽到	c=1 d=0.390628 t=31290
bang ni shi 	幫你試	c=1 d=1.95657e-14 t=31290
bang shang 	綁上	c=1 d=1.63822e-13 t=31290
bang ta 	幫他	c=0 d=8.63083e-05 t=31290
bang ta qing jia 	幫他請假	c=1 d=0.000867409 t=31290
bang wan 	傍晚	c=1 d=0.2334 t=31290
bang wo 	幫我	c=5 d=0.29424 t=31290
bang wo jie jue le 	幫我解決了	c=1 d=0.00324708 t=31290
bang wo na xia 	幫我拿下	c=3 d=0.405849 t=31290
bang wo na xia kuai di a 	幫我拿下快遞啊	c=2 d=0.0056884 t=31290
bang wo qian dao 	幫我簽到	c=1 d=0.000124028 t=31290
bang zai 	綁在	c=1 d=0.438235 t=31290
bang zhu 	幫助	c=8 d=0.379006 t=31290
bang zhu jiu hao 	幫助就好	c=1 d=0.826959 t=31290
bang zhu ti shi 	幫助提示	c=1 d=0.000265207 t=31290
bang zhu xia 	幫助下	c=1 d=0.0471227 t=31290
bao 	包	c=14 d=1.21829 t=31290
bao 	報	c=3 d=0.85867 t=31290
bao 	煲	c=0 d=0.000327971 t=31290
bao chi 	保持	c=4 d=0.758579 t=31290
bao chi tong bu 	保持同步	c=1 d=0.0138427 t=31290
bao chi zhe 	保持着	c=1 d=0.00677172 t=31290
bao chu 	爆出	c=1 d=0.12493 t=31290
bao cun 	保存	c=9 d=0.771507 t=31290
bao cun jiu hao le 	保存就好了	c=1 d=0.00835412 t=31290
bao cun mi ma 	保存密碼	c=1 d=0.351692 t=31290
bao cun zai 	保存在	c=1 d=1 t=30370
bao cuo 	報錯	c=7 d=0.799395 t=31290
bao cuo le 	報錯了	c=1 d=1 t=30132
bao dao 	寶島	c=2 d=0.737123 t=31290
bao de shi hou 	包的時候	c=1 d=0.00673795 t=31290
bao duo bu duo 	包多不多	c=1 d=0.341298 t=31290
bao gao 	報告	c=2 d=0.0721095 t=31290
bao guan li qi 	包管理器	c=1 d=1 t=29360
bao guang du 	曝光度	c=1 d=1.72966e-05 t=31290
bao guo 	包裹	c=1 d=0.0100098 t=31290
bao guo zhi hou 	包裹之後	c=1 d=0.044601 t=31290
bao han 	包含	c=2 d=0.429557 t=31290
bao hu 	保護	c=1 d=0.0113842 t=31290
bao hu ge ren 	保護個人	c=1 d=0.104874 t=31290
bao hu ke 	保護殼	c=1 d=0.108067 t=31290
bao jian 	包間	c=1 d=0.00554422 t=31290
bao ju 	爆菊	c=1 d=1.0417e-10 t=31290
bao kuo 	包括	c=19 d=1.04751 t=31290
bao le 	包了	c=2 d=0.00551656 t=31290
bao le 	報了	c=3 d=0.644764 t=31290
bao lin 	寶霖	c=4 d=0.873635 t=31290
bao liu 	保留	c=1 d=0.582748 t=31290
bao lu 	暴露	c=3 d=0.551563 t=31290
bao luo 	保羅	c=0 d=0.0847894 t=31290
bao luo qiao zhi 	保羅喬治	c=1 d=0.852144 t=31290
bao ni wei gui 	報你違規	c=1 d=0.0102037 t=31290
bao shang 	報上	c=1 d=0.00680566 t=31290
bao shen me cuo 	報什麼錯	c=2 d=0.000750698 t=31290
bao ta 	寶塔	c=3 d=0.927743 t=31290
bao ti ji 	包體積	c=1 d=0.0110536 t=31290
bao wen 	報文	c=41 d=5.03636 t=31290
bao wen duan 	報文段	c=0 d=0.00254765 t=31290
bao wen ge shi 	報文格式	c=1 d=0.203926 t=31290
bao wen hui fang 	報文回放	c=1 d=0.229925 t=31290
bao wen ru xia 	報文如下	c=1 d=0.000405658 t=31290
bao wen zai he 	報文載荷	c=1 d=0.000428594 t=31290
bao wen zhuan fa 	報文轉發	c=1 d=0.000169103 t=31290
bao xian 	保險	c=2 d=0.323043 t=31290
bao xiao 	報銷	c=1 d=0.00673795 t=31290
bao xiu 	保修	c=1 d=0.0706512 t=31290
bao you 	包郵	c=1 d=0.118837 t=31290
bao zha 	爆炸	c=1 d=0.15259 t=31290
bao zheng 	保證	c=6 d=0.715338 t=31290
bao zi 	包子	c=1 d=0.67368 t=31290
bao zuo 	寶座	c=1 d=1 t=29559
bei 	倍	c=3 d=1.00782 t=31290
bei 	唄	c=13 d=1.02796 t=31290
bei 	被	c=16 d=1.35124 t=31290
bei an 	備案	c=1 d=0.00124007 t=31290
bei chang zhong xian 	倍長中線	c=1 d=0.0812682 t=31290
bei chuan song 	被傳送	c=1 d=0.0290133 t=31290
bei da 	被打	c=0 d=0.0932394 t=31290
bei dao 	被盜	c=0 d=0.0172907 t=31290
bei dao hao 	被盜號	c=1 d=0.173774 t=31290
bei diao 	被調	c=0 d=2.79526e-06 t=31290
bei diao yong de 	被調用的	c=1 d=2.80927e-05 t=31290
bei dong mo shi 	被動模式	c=10 d=1.52706 t=31290
bei fa xian 	被發現	c=1 d=0.00615802 t=31290
bei fen 	備份	c=4 d=0.748271 t=31290
bei fen pian 	被分片	c=1 d=0.644036 t=31290
bei feng 	被封	c=1 d=0.474734 t=31290
bei hei 	被黑	c=0 d=0.0240508 t=31290
bei hei le 	被黑了	c=1 d=0.241714 t=31290
bei jia mi 	被加密	c=1 d=0.00615802 t=31290
bei jing 	北京	c=1 d=0.0792617 t=31290
bei jing 	背景	c=3 d=0.0621374 t=31290
bei jing se 	背景色	c=1 d=0.843665 t=31290
bei la 	貝拉	c=8 d=0.975792 t=31290
bei la xiao jie jie 	貝拉小姐姐	c=1 d=0.00386807 t=31290
bei lan yong 	被濫用	c=1 d=2.71265e-05 t=31290
bei lv 	倍率	c=1 d=0.382893 t=31290
bei na ge 	被哪個	c=1 d=0.0515605 t=31290
bei ni 	被你	c=2 d=0.900325 t=31290
bei qiang 	被牆	c=1 d=0.109928 t=31290
bei ren 	被人	c=1 d=1.48257e-15 t=31290
bei ren wei shi 	被認爲是	c=0 d=0.000222055 t=31290
bei sheng ming 	被聲明	c=1 d=0.486752 t=31290
bei shu 	倍數	c=1 d=0.018968 t=31290
bei ta 	貝塔	c=1 d=0.271173 t=31290
bei tou 	被偷	c=0 d=0.00017555 t=31290
bei tou le 	被偷了	c=1 d=0.0017643 t=31290
bei wo 	被我	c=2 d=0.767206 t=31290
bei xian zhi 	被限制	c=1 d=0.802519 t=31290
bei yin yong 	被引用	c=1 d=0.0898153 t=31290
bei yong 	備用	c=0 d=0.026054 t=31290
bei yong le 	備用了	c=1 d=0.261846 t=31290
bei zhan 	備戰	c=1 d=0.431711 t=31290
bei zhu 	備註	c=0 d=0.1 t=28823
bei zhu xiao le 	被註銷了	c=1 d=0.0858632 t=31290
bei zi 	杯子	c=1 d=0.00711891 t=31290
ben 	本	c=10 d=0.306556 t=31290
ben ci 	本次	c=1 d=0.000925663 t=31290
ben di 	本地	c=9 d=0.496585 t=31290
ben di duan kou 	本地端口	c=1 d=0.0023935 t=31290
ben di fu wu qi 	本地服務器	c=1 d=0.839457 t=31290
ben di pei zhi 	本地配置	c=2 d=1.32095 t=31290
ben di wang luo you wen ti 	本地網絡有問題	c=1 d=0.084163 t=31290
ben ji 	本機	c=2 d=0.386741 t=31290
ben ke 	本科	c=3 d=0.414098 t=31290
ben ke bi ye 	本科畢業	c=1 d=2.85319e-11 t=31290
ben ke ti 	本課題	c=7 d=0.189494 t=31290
ben lai 	本來	c=6 d=1.25893 t=31290
ben lai jiu 	本來就	c=0 d=0.0246597 t=31290
ben lai jiu bu ke kao 	本來就不可靠	c=1 d=0.247833 t=31290
ben lai jiu shi 	本來就是	c=1 d=0.690014 t=31290
ben lai jiu shi guang yi quan 	本來就是逛一圈	c=1 d=0.474734 t=31290
ben lai mei niao yi 	本來沒尿意	c=1 d=0.000205513 t=31290
ben lai shuo 	本來說	c=1 d=0.000804733 t=31290
ben lai xiang 	本來想	c=0 d=0.021119 t=31290
ben lai xiang zhe dai hui zai 	本來想着待會再	c=1 d=0.212248 t=31290
ben lai yi wei 	本來以爲	c=1 d=0.285076 t=31290
ben lan quan 	本濫權	c=1 d=0.0209629 t=31290
ben lun wen 	本論文	c=7 d=0.00348255 t=31290
ben lun wen zhong 	本論文中	c=1 d=0.00251621 t=31290
ben qun 	本羣	c=2 d=1.30761 t=31290
ben ren 	本人	c=1 d=0.0127147 t=31290
ben shen 	本身	c=3 d=0.795416 t=31290
ben shen ye shi 	本身也是	c=1 d=0.00360656 t=31290
ben wen 	本文	c=2 d=0.0814647 t=31290
ben wen lian jie 	本文鏈接	c=1 d=0.818731 t=31290
ben ye mian 	本頁面	c=1 d=0.965605 t=31290
ben zhan 	本站	c=1 d=0.0166557 t=31290
ben zhang 	本章	c=3 d=4.33846e-07 t=31290
ben zhang xiao jie 	本章小結	c=4 d=1.78388e-07 t=31290
ben zhi 	本質	c=1 d=1.80117e-11 t=31290
ben zhou 	本週	c=9 d=0.328461 t=31290
ben zuo pin 	本作品	c=1 d=0.822835 t=31290
bi 	幣	c=1 d=0.525235 t=31290
bi 	比	c=9 d=0.512085 t=31290
bi 	畢	c=1 d=0.235746 t=31290
bi dui 	比對	c=1 d=9.70776e-05 t=31290
bi gan 	筆桿	c=1 d=0.0160027 t=31290
bi hua 	筆畫	c=1 d=0.99005 t=31290
bi ji 	筆記	c=1 d=0.499684 t=31290
bi ji ben 	筆記本	c=3 d=2.02021 t=31290
bi ji lei 	筆記類	c=1 d=0.0611149 t=31290
bi jiao 	比較	c=33 d=2.70802 t=31290
bi jiao da 	比較大	c=1 d=0.0773047 t=31290
bi jiao de 	比較的	c=1 d=0.13332 t=31290
bi jiao di diao 	比較低調	c=2 d=0.174647 t=31290
bi jiao duo 	比較多	c=1 d=0.0136366 t=31290
bi jiao fu he 	比較符合	c=1 d=0.224249 t=31290
bi jiao gao 	比較高	c=1 d=0.0328764 t=31290
bi jiao hao 	比較好	c=1 d=1.94211e-15 t=31290
bi jiao he shi 	比較合適	c=0 d=0.00742736 t=31290
bi jiao he shi ba 	比較合適吧	c=1 d=0.0746459 t=31290
bi jiao le 	比較了	c=1 d=0.000858778 t=31290
bi jiao le xia 	比較了下	c=1 d=0.199887 t=31290
bi jiao nan 	比較難	c=0 d=0.0644036 t=31290
bi jiao shao 	比較少	c=1 d=0.313486 t=31290
bi jiao shao le 	比較少了	c=1 d=1 t=29292
bi jiao wan 	比較晚	c=0 d=0.00131675 t=31290
bi jiao wan dao 	比較晚到	c=1 d=0.0132336 t=31290
bi jiao xiao 	比較小	c=1 d=0.481909 t=31290
bi jiao you hao ba 	比較友好吧	c=1 d=0.000816895 t=31290
bi jiao zai hang 	比較在行	c=1 d=0.246597 t=31290
bi jiao zhe teng 	比較折騰	c=1 d=0.0332068 t=31290
bi jin 	逼近	c=0 d=1.43826e-12 t=31290
bi jin yu 	逼近於	c=1 d=1.44547e-11 t=31290
bi jing 	畢竟	c=4 d=0.348619 t=31290
bi jing na me duo 	畢竟那麼多	c=1 d=0.321422 t=31290
bi jing qian mian 	畢竟前面	c=1 d=8.87222e-05 t=31290
bi juan 	閉卷	c=1 d=1 t=28328
bi li 	比例	c=1 d=0.0143704 t=31290
bi li xi shu 	比例係數	c=1 d=0.144424 t=31290
bi mian 	避免	c=3 d=0.154998 t=31290
bi ni 	比你	c=0 d=0.00953692 t=31290
bi ni duo ne 	比你多呢	c=1 d=0.0958472 t=31290
bi rou 	碧柔	c=1 d=0.000934966 t=31290
bi ru 	比如	c=10 d=1.58775 t=31290
bi sai 	比賽	c=2 d=0.408608 t=31290
bi she 	畢設	c=1 d=0.066365 t=31290
bi she ke ti 	畢設課題	c=1 d=0.00108628 t=31290
bi shi 	筆試	c=4 d=0.995131 t=31290
bi shi ti mu 	筆試題目	c=1 d=0.0118551 t=31290
bi shui 	比誰	c=1 d=0.00132678 t=31290
bi te 	比特	c=4 d=0.0746459 t=31290
bi te liu 	比特流	c=2 d=0.255737 t=31290
bi wo 	比我	c=1 d=0.060205 t=31290
bi xu 	必須	c=3 d=0.322274 t=31290
bi xuan 	必選	c=1 d=1 t=30085
bi xuan 	筆軒	c=1 d=0.00292342 t=31290
bi yao 	必要	c=2 d=0.00511796 t=31290
bi ye 	畢業	c=5 d=0.914105 t=31290
bi ye hou 	畢業後	c=1 d=0.423162 t=31290
bi ye lun wen 	畢業論文	c=2 d=0.00275318 t=31290
bi ye she ji 	畢業設計	c=11 d=0.895834 t=31290
bi ye she ji da bian 	畢業設計答辯	c=1 d=0.0125254 t=31290
bi ye wan hui 	畢業晚會	c=1 d=0.740818 t=31290
bi ye zhao 	畢業照	c=1 d=1.0788e-10 t=31290
bi yi qian 	比以前	c=1 d=0.377192 t=31290
bi ying 	必應	c=1 d=0.000829241 t=31290
bi zhi 	壁紙	c=1 d=0.18452 t=31290
bi zhong 	比重	c=1 d=0.0125556 t=31290
bi zhong de 	比重的	c=1 d=0.126186 t=31290
bian 	便	c=1 d=6.09882e-07 t=31290
bian 	編	c=1 d=1.53063e-08 t=31290
bian 	變	c=4 d=0.814647 t=31290
bian 	遍	c=0 d=0.0286505 t=31290
bian 	邊	c=2 d=0.0146365 t=31290
bian cheng 	編程	c=3 d=0.923116 t=31290
bian cheng 	變成	c=1 d=0.110314 t=31290
bian cheng le 	變成了	c=2 d=0.0590129 t=31290
bian cheng yu yan 	編程語言	c=1 d=0.0106818 t=31290
bian cheng yu yan ji chu 	編程語言基礎	c=1 d=0.0361528 t=31290
bian de 	變得	c=4 d=0.290073 t=31290
bian duan 	變短	c=1 d=0.65377 t=31290
bian hao 	編號	c=1 d=0.00918669 t=31290
bian hua 	變化	c=5 d=0.622613 t=31290
bian hua fan wei 	變化範圍	c=1 d=0.00113061 t=31290
bian huan 	變換	c=2 d=5.66216e-07 t=31290
bian ji 	編輯	c=8 d=1.01396 t=31290
bian ji jie mian 	編輯界面	c=5 d=1.57461 t=31290
bian ji qi 	編輯器	c=3 d=0.230939 t=31290
bian jie 	邊界	c=0 d=0.00645703 t=31290
bian jie jue 	邊解決	c=1 d=0.00479587 t=31290
bian jie ma 	編解碼	c=0 d=8.36124e-14 t=31290
bian ju 	編劇	c=1 d=0.0338776 t=31290
bian le 	變了	c=1 d=0.000616491 t=31290
bian li 	便利	c=2 d=2.84975e-10 t=31290
bian li 	遍歷	c=6 d=0.444781 t=31290
bian liang 	變量	c=16 d=5.16424 t=31290
bian liang de 	變量的	c=1 d=0.327915 t=31290
bian ma 	編碼	c=8 d=1.7115 t=31290
bian ma ji shu 	編碼技術	c=1 d=7.66007e-12 t=31290
bian ma ju zhen 	編碼矩陣	c=1 d=2.91786e-10 t=31290
bian shi tang le 	變食堂了	c=1 d=0.00100779 t=31290
bian tai 	變態	c=0 d=0.00898153 t=31290
bian xiao 	變小	c=1 d=0.00105417 t=31290
bian xie 	編寫	c=13 d=0.94757 t=31290
bian yi 	編譯	c=1 d=0.704688 t=31290
bian yu 	便於	c=0 d=0.0477114 t=31290
bian yu qu fen 	便於區分	c=1 d=0.479505 t=31290
bian yuan 	邊緣	c=1 d=0.0109985 t=31290
bian yuan gao 	邊緣高	c=1 d=0.066205 t=31290
bian zu 	編組	c=1 d=0.000110003 t=31290
biao 	標	c=0 d=0.0136014 t=31290
biao 	表	c=5 d=0.965605 t=31290
biao da 	表達	c=0 d=0.0271273 t=31290
biao da le shen me 	表達了什麼	c=1 d=0.000555857 t=31290
biao da shen me 	表達什麼	c=1 d=0.272532 t=31290
biao da shi 	表達式	c=4 d=0.689795 t=31290
biao dan 	表單	c=1 d=0.302704 t=31290
biao dian 	標點	c=1 d=0.2334 t=31290
biao gao 	標高	c=2 d=0.0682421 t=31290
biao ge 	表格	c=11 d=0.50409 t=31290
biao hong 	標紅	c=1 d=0.0230521 t=31290
biao ji 	標記	c=1 d=0.0678809 t=31290
biao le 	標了	c=2 d=0.574072 t=31290
biao liang 	標量	c=1 d=0.0160829 t=31290
biao ming 	表明	c=1 d=0.00113627 t=31290
biao qian 	標籤	c=19 d=0.595068 t=31290
biao qian ye 	標籤頁	c=1 d=0.955997 t=31290
biao qing 	表情	c=2 d=0.798516 t=31290
biao qing shu ru 	表情輸入	c=4 d=2.60778 t=31290
biao shi 	標識	c=2 d=0.902303 t=31290
biao shi 	表示	c=13 d=0.764403 t=31290
biao shi dui 	表示對	c=1 d=0.496585 t=31290
biao shi gan xie 	表示感謝	c=0 d=0.0647265 t=31290
biao shi guo 	表示過	c=1 d=0.250324 t=31290
biao shi wei 	表示爲	c=4 d=0.0446157 t=31290
biao shu 	表叔	c=2 d=1.40668 t=31290
biao tai 	表態	c=0 d=0.0349938 t=31290
biao tai a 	表態啊	c=1 d=0.351692 t=31290
